Method,True_stage,Pred_stage,count,row_norm
B1,early,early,25,0.2976
B1,early,middle,59,0.7024
B1,early,late,0,0.0
B1,middle,early,0,0.0
B1,middle,middle,80,0.6202
B1,middle,late,49,0.3798
B1,late,early,0,0.0
B1,late,middle,0,0.0
B1,late,late,91,1.0
B2,early,early,84,1.0
B2,early,middle,0,0.0
B2,early,late,0,0.0
B2,middle,early,62,0.4806
B2,middle,middle,0,0.0
B2,middle,late,67,0.5194
B2,late,early,0,0.0
B2,late,middle,0,0.0
B2,late,late,91,1.0
B3,early,early,84,1.0
B3,early,middle,0,0.0
B3,early,late,0,0.0
B3,middle,early,14,0.1085
B3,middle,middle,115,0.8915
B3,middle,late,0,0.0
B3,late,early,0,0.0
B3,late,middle,2,0.022
B3,late,late,89,0.978
B4,early,early,82,0.9762
B4,early,middle,2,0.0238
B4,early,late,0,0.0
B4,middle,early,22,0.1705
B4,middle,middle,107,0.8295
B4,middle,late,0,0.0
B4,late,early,0,0.0
B4,late,middle,17,0.1868
B4,late,late,74,0.8132
B5,early,early,83,0.9881
B5,early,middle,1,0.0119
B5,early,late,0,0.0
B5,middle,early,4,0.031
B5,middle,middle,124,0.9612
B5,middle,late,1,0.0078
B5,late,early,0,0.0
B5,late,middle,0,0.0
B5,late,late,91,1.0
B6,early,early,60,0.7143
B6,early,middle,24,0.2857
B6,early,late,0,0.0
B6,middle,early,5,0.0388
B6,middle,middle,124,0.9612
B6,middle,late,0,0.0
B6,late,early,0,0.0
B6,late,middle,8,0.0879
B6,late,late,83,0.9121
B7,early,early,84,1.0
B7,early,middle,0,0.0
B7,early,late,0,0.0
B7,middle,early,4,0.031
B7,middle,middle,112,0.8682
B7,middle,late,13,0.1008
B7,late,early,0,0.0
B7,late,middle,2,0.022
B7,late,late,89,0.978
B8,early,early,84,1.0
B8,early,middle,0,0.0
B8,early,late,0,0.0
B8,middle,early,28,0.2171
B8,middle,middle,52,0.4031
B8,middle,late,49,0.3798
B8,late,early,0,0.0
B8,late,middle,0,0.0
B8,late,late,91,1.0
B9,early,early,84,1.0
B9,early,middle,0,0.0
B9,early,late,0,0.0
B9,middle,early,21,0.1628
B9,middle,middle,93,0.7209
B9,middle,late,15,0.1163
B9,late,early,0,0.0
B9,late,middle,0,0.0
B9,late,late,91,1.0
B10,early,early,84,1.0
B10,early,middle,0,0.0
B10,early,late,0,0.0
B10,middle,early,11,0.0853
B10,middle,middle,96,0.7442
B10,middle,late,22,0.1705
B10,late,early,0,0.0
B10,late,middle,0,0.0
B10,late,late,91,1.0
B11,early,early,84,1.0
B11,early,middle,0,0.0
B11,early,late,0,0.0
B11,middle,early,14,0.1085
B11,middle,middle,67,0.5194
B11,middle,late,48,0.3721
B11,late,early,0,0.0
B11,late,middle,0,0.0
B11,late,late,91,1.0
B12,early,early,84,1.0
B12,early,middle,0,0.0
B12,early,late,0,0.0
B12,middle,early,3,0.0233
B12,middle,middle,86,0.6667
B12,middle,late,40,0.3101
B12,late,early,0,0.0
B12,late,middle,0,0.0
B12,late,late,91,1.0
